 Output of initial values
 ISTEP=           0 DPDXB=  0.000000000000000E+000 DPREF=
  0.000000000000000E+000
 FAC=   1.33038289509454     


           Y/Y.5      U       DUDY          TK          TP12        TP11        TP22      TP33         Y+         U+       XMUL     XMULM
  36    8.931E-02  7.860E-03  5.343E-03  4.192E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.291E+01  0.000E+00  1.000E-03  1.111E-03
  37    1.011E-01  8.017E-03  4.721E-03  4.071E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.120E+01  0.000E+00  1.000E-03  1.111E-03
  38    1.144E-01  8.174E-03  4.171E-03  3.936E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.057E+01  0.000E+00  1.000E-03  1.111E-03
  39    1.294E-01  8.331E-03  3.687E-03  3.782E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.116E+01  0.000E+00  1.000E-03  1.111E-03
  40    1.464E-01  8.487E-03  3.259E-03  3.609E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.031E+02  0.000E+00  1.000E-03  1.111E-03
  41    1.656E-01  8.644E-03  2.881E-03  3.413E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.166E+02  0.000E+00  1.000E-03  1.111E-03
  42    1.873E-01  8.800E-03  2.548E-03  3.192E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.319E+02  0.000E+00  1.000E-03  1.111E-03
  43    2.118E-01  8.956E-03  2.253E-03  2.941E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.492E+02  0.000E+00  1.000E-03  1.111E-03
  44    2.395E-01  9.112E-03  1.992E-03  2.659E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.687E+02  0.000E+00  1.000E-03  1.111E-03
  45    2.708E-01  9.268E-03  1.762E-03  2.339E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.907E+02  0.000E+00  1.000E-03  1.111E-03
  46    3.062E-01  9.424E-03  1.558E-03  1.978E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.157E+02  0.000E+00  1.000E-03  1.111E-03
  47    3.461E-01  9.580E-03  1.379E-03  1.571E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.438E+02  0.000E+00  1.000E-03  1.111E-03
  48    3.913E-01  9.735E-03  1.219E-03  1.110E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.756E+02  0.000E+00  1.000E-03  1.111E-03
  49    4.423E-01  9.891E-03  1.079E-03  5.888E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.116E+02  0.000E+00  1.000E-03  1.111E-03
  50    5.000E-01  1.005E-02  9.543E-04  2.552E-11  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.522E+02  0.000E+00  1.000E-03  1.111E-03
  51    5.577E-01  9.891E-03 -1.079E-03  5.888E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.116E+02  0.000E+00  1.000E-03  1.111E-03
  52    6.087E-01  9.735E-03 -1.219E-03  1.110E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.756E+02  0.000E+00  1.000E-03  1.111E-03
  53    6.539E-01  9.580E-03 -1.379E-03  1.571E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.438E+02  0.000E+00  1.000E-03  1.111E-03
  54    6.938E-01  9.424E-03 -1.558E-03  1.978E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.157E+02  0.000E+00  1.000E-03  1.111E-03
  55    7.292E-01  9.268E-03 -1.762E-03  2.339E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.907E+02  0.000E+00  1.000E-03  1.111E-03
  56    7.605E-01  9.112E-03 -1.992E-03  2.659E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.687E+02  0.000E+00  1.000E-03  1.111E-03
  57    7.882E-01  8.956E-03 -2.253E-03  2.941E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.492E+02  0.000E+00  1.000E-03  1.111E-03
  58    8.127E-01  8.800E-03 -2.548E-03  3.192E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.319E+02  0.000E+00  1.000E-03  1.111E-03
  59    8.344E-01  8.644E-03 -2.881E-03  3.413E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.166E+02  0.000E+00  1.000E-03  1.111E-03
  60    8.536E-01  8.487E-03 -3.259E-03  3.609E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.031E+02  0.000E+00  1.000E-03  1.111E-03
  61    8.706E-01  8.331E-03 -3.687E-03  3.782E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.116E+01  0.000E+00  1.000E-03  1.111E-03
  62    8.856E-01  8.174E-03 -4.171E-03  3.936E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.057E+01  0.000E+00  1.000E-03  1.111E-03
  63    8.989E-01  8.017E-03 -4.721E-03  4.071E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.120E+01  0.000E+00  1.000E-03  1.111E-03
  64    9.107E-01  7.860E-03 -5.343E-03  4.192E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.291E+01  0.000E+00  1.000E-03  1.111E-03
  65    9.211E-01  7.702E-03 -6.048E-03  4.298E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.557E+01  0.000E+00  1.000E-03  1.111E-03
  66    9.303E-01  7.544E-03 -6.849E-03  4.392E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.907E+01  0.000E+00  1.000E-03  1.111E-03
  67    9.385E-01  7.386E-03 -7.757E-03  4.475E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.332E+01  0.000E+00  1.000E-03  1.111E-03
  68    9.457E-01  7.228E-03 -8.789E-03  4.549E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.824E+01  0.000E+00  1.000E-03  1.111E-03
  69    9.521E-01  7.069E-03 -9.962E-03  4.614E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.374E+01  0.000E+00  1.000E-03  1.111E-03
  70    9.578E-01  6.909E-03 -1.130E-02  4.672E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.975E+01  0.000E+00  1.000E-03  1.111E-03
  71    9.628E-01  6.749E-03 -1.281E-02  4.723E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.623E+01  0.000E+00  1.000E-03  1.111E-03
  72    9.672E-01  6.588E-03 -1.454E-02  4.768E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.311E+01  0.000E+00  1.000E-03  1.111E-03
  73    9.711E-01  6.427E-03 -1.652E-02  4.808E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.035E+01  0.000E+00  1.000E-03  1.111E-03
  74    9.746E-01  6.264E-03 -1.877E-02  4.478E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.791E+01  0.000E+00  1.000E-03  1.111E-03
